<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
9988.HK,D,20250102,000000,82.4,82.7,80.8,81.3,48562393,0
9988.HK,D,20250103,000000,83.1,83.75,82,82.6,57859265,0
9988.HK,D,20250106,000000,83.15,83.35,81.9,82.15,36259231,0
9988.HK,D,20250107,000000,82.15,82.45,80.5,81.4,57807719,0
9988.HK,D,20250108,000000,81.6,82.25,80.4,80.9,51033856,0
9988.HK,D,20250109,000000,80.9,81.6,80.45,80.6,38857402,0
9988.HK,D,20250110,000000,80.9,81.2,79.5,79.6,49178401,0
9988.HK,D,20250113,000000,78.5,78.55,77.35,78.1,47082642,0
9988.HK,D,20250114,000000,78.75,80.35,78.35,79.95,62238203,0
9988.HK,D,20250115,000000,79.1,80.15,79.1,79.95,34729525,0
9988.HK,D,20250116,000000,80.1,81.45,79.25,80.45,40303852,0
9988.HK,D,20250117,000000,80,80.75,79.6,80.75,40613226,0
9988.HK,D,20250120,000000,82.7,86.1,82.4,84.55,92760400,0
9988.HK,D,20250121,000000,85.8,85.95,83.9,84.8,45376591,0
9988.HK,D,20250122,000000,83.3,83.9,81.65,82.2,50020729,0
9988.HK,D,20250123,000000,83.85,84.25,82.55,82.9,35695244,0
9988.HK,D,20250124,000000,83.75,85,83,84.75,56000920,0
9988.HK,D,20250127,000000,86.6,87.95,86.1,87.25,77324541,0
9988.HK,D,20250128,000000,88.5,88.5,87.65,88.3,28186080,0
9988.HK,D,20250203,000000,92.55,94.1,90.4,94,137951734,0
9988.HK,D,20250204,000000,96.8,97.95,94.75,97.65,119029715,0
9988.HK,D,20250205,000000,99,99.65,95.3,97.55,130268715,0
9988.HK,D,20250206,000000,96.95,98.9,96.5,98.55,82663790,0
9988.HK,D,20250207,000000,98,100.9,97.7,100,111035834,0
9988.HK,D,20250210,000000,103,106.5,103,105.5,154940987,0
9988.HK,D,20250211,000000,107.9,108.6,104.6,104.9,133001073,0
9988.HK,D,20250212,000000,109.2,113.9,109.1,113.8,215324934,0
9988.HK,D,20250213,000000,115.2,124.3,115.2,116.7,336901993,0
9988.HK,D,20250214,000000,116.9,124.3,116.8,124.1,267121701,0
9988.HK,D,20250217,000000,124.9,129.5,118.8,122.2,293596265,0
9988.HK,D,20250218,000000,122,128.6,122,126.3,197776235,0
9988.HK,D,20250219,000000,123.7,125.4,122.3,124.1,148288754,0
9988.HK,D,20250220,000000,122.4,123.6,118.4,120.9,178330455,0
9988.HK,D,20250221,000000,133,139.6,131,138.5,329402607,0
